Range;class;model;precision;recall;f1_score;roc_auc;accuracy;номер комбинации;RSI__h_bound;RSI__period;SMA__ma_long;SMA__ma_longest;SMA__ma_short;EMA__ema_long;EMA__ema_longest;EMA__ema_short;RSIEMA__h_bound;RSIEMA__period;ROC__roc_high;ROC__roc_low;MOM__mom_high;MOM__mom_low;STOCH__stoch_d;STOCH__stoch_k;STOCH__stoch_period;SHIFT1__num_shifts;SHIFT2__num_shifts;CORRELATION_REMOVER__threshold;DEPENDENCIES_REMOVER__correlation_threshold;DATAPREPROCESSOR__apply_balancing;DATAPREPROCESSOR__apply_scaling;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
0,05;0;RandomForestClassifier;0.46;0.025621982918678055;0.04854027435807246;0.426528428494062;0.6372535872334719;215;70;21;21;200;8;34;200;5;70;21;21;5;21;5;3;13;3;13;1;0.01;0.8;FALSE;FALSE;100;10;4;log2;10
0,05;1;RandomForestClassifier;0.6408922950595319;0.9829974811083123;0.7759092038770607;0.5734715715059381;0.6372535872334719;215;70;21;21;200;8;34;200;5;70;21;21;5;21;5;3;13;3;13;1;0.01;0.8;FALSE;FALSE;100;10;4;log2;10
0,05;0;RandomForestClassifier;0.38183279742765275;0.3527664314890457;0.3667245705462266;0.47679363078017667;0.5600107281748693;216;70;21;34;200;5;34;134;13;70;8;21;5;21;5;5;5;5;3;1;0.01;0.3;FALSE;TRUE;100;2;4;log2;10
0,05;1;RandomForestClassifier;0.6492251962165425;0.6771620486985727;0.6628994143635056;0.5232063692198232;0.5600107281748693;216;70;21;34;200;5;34;134;13;70;8;21;5;21;5;5;5;5;3;1;0.01;0.3;FALSE;TRUE;100;2;4;log2;10
0,05;0;RandomForestClassifier;0.4065934065934066;0.027478648347567768;0.051478260869565216;0.43152201668473444;0.634303339144428;217;70;21;21;200;13;34;134;5;80;13;21;5;14;14;3;8;3;13;3;0.01;0.8;FALSE;TRUE;100;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.64;0.9773299748110831;0.77348616994767;0.5684779833152656;0.634303339144428;217;70;21;21;200;13;34;134;5;80;13;21;5;14;14;3;8;3;13;3;0.01;0.8;FALSE;TRUE;100;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.363079615048119;0.30820646119569256;0.33340028118096005;0.4682796661930689;0.5549148451119753;218;70;21;34;200;13;21;200;5;80;8;14;9;14;14;3;13;5;5;3;0.03;0.3;FALSE;TRUE;100;2;4;sqrt;10
0,05;1;RandomForestClassifier;0.6397215238831947;0.6943744752308985;0.665928535480624;0.5317203338069311;0.5549148451119753;218;70;21;34;200;13;21;200;5;80;8;14;9;14;14;3;13;5;5;3;0.03;0.3;FALSE;TRUE;100;2;4;sqrt;10
0,05;0;RandomForestClassifier;0.4125;0.024507983661344226;0.046267087276550996;0.4183131126723105;0.6351079522596218;219;70;13;34;200;5;21;134;13;70;21;14;9;14;5;3;13;3;13;3;0.01;0.8;FALSE;TRUE;100;2;4;log2;10
0,05;1;RandomForestClassifier;0.6399890365903796;0.9802686817800168;0.774396816184396;0.5816868873276894;0.6351079522596218;219;70;13;34;200;5;21;134;13;70;21;14;9;14;5;3;13;3;13;3;0.01;0.8;FALSE;TRUE;100;2;4;log2;10
0,05;0;RandomForestClassifier;0.37635339974014725;0.3226884515410323;0.34746101559376247;0.49119911746815065;0.5622904653345849;220;70;13;34;200;5;34;200;13;80;8;14;9;14;5;3;8;5;3;3;0.03;0.3;FALSE;TRUE;100;2;4;sqrt;10
0,05;1;RandomForestClassifier;0.6456876456876457;0.6977329974811083;0.6707021791767555;0.5088008825318494;0.5622904653345849;220;70;13;34;200;5;34;200;13;80;8;14;9;14;5;3;8;5;3;3;0.03;0.3;FALSE;TRUE;100;2;4;sqrt;10
0,05;0;RandomForestClassifier;0.3780487804878049;0.1726698848867434;0.23706347183278104;0.48781117073433844;0.5986321577041706;221;70;13;34;200;8;21;134;5;70;21;21;5;14;14;5;8;5;3;3;0.01;0.5;FALSE;TRUE;200;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.6422033081740807;0.8394206549118388;0.7276862887817305;0.5121888292656616;0.5986321577041706;221;70;13;34;200;8;21;134;5;70;21;21;5;14;14;5;8;5;3;3;0.01;0.5;FALSE;TRUE;200;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.3647746243739566;0.324545116969922;0.34348595008842603;0.4899885825209059;0.5519645970229314;222;70;13;21;200;5;21;134;5;70;8;21;9;21;14;3;5;3;13;1;0.01;0.3;FALSE;TRUE;100;5;2;log2;10
0,05;1;RandomForestClassifier;0.6405848646512546;0.6805205709487825;0.6599491094147583;0.5100114174790942;0.5519645970229314;222;70;13;21;200;5;21;134;5;70;8;21;9;21;14;3;5;3;13;1;0.01;0.3;FALSE;TRUE;100;5;2;log2;10
0,05;0;RandomForestClassifier;0.36486486486486486;0.030077979948013367;0.055574614065180106;0.4426516424863665;0.6308166823119217;223;70;13;34;200;8;21;134;13;80;13;21;5;14;14;5;13;3;3;3;0.03;0.8;FALSE;TRUE;100;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.638977194194886;0.9704030226700252;0.7705642136844737;0.5573483575136335;0.6308166823119217;223;70;13;34;200;8;21;134;13;80;13;21;5;14;14;5;13;3;3;3;0.03;0.8;FALSE;TRUE;100;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.3900414937759336;0.034905310063126624;0.06407634628493525;0.43987662138647854;0.631755397612981;224;70;21;21;200;8;21;134;13;80;21;21;5;14;5;5;5;5;3;3;0.01;0.8;FALSE;FALSE;100;10;4;sqrt;10
0,05;1;RandomForestClassifier;0.6398281596452328;0.9691435768261965;0.7707846410684475;0.5601233786135215;0.631755397612981;224;70;21;21;200;8;21;134;13;80;21;21;5;14;5;5;5;5;3;3;0.01;0.8;FALSE;FALSE;100;10;4;sqrt;10
0,05;0;RandomForestClassifier;0.4087030716723549;0.1778685480876346;0.2478654592496766;0.46517419450183844;0.6101649456886147;225;70;21;21;200;13;34;200;5;70;13;21;5;14;5;5;5;3;13;3;0.01;0.5;FALSE;TRUE;100;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.6477326968973747;0.8545340050377834;0.736899266901982;0.5348258054981616;0.6101649456886147;225;70;21;21;200;13;34;200;5;70;13;21;5;14;5;5;5;3;13;3;0.01;0.5;FALSE;TRUE;100;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.3713062098501071;0.32194578536947643;0.3448687350835322;0.48839397037379306;0.5582673997586161;226;70;13;34;200;5;34;200;5;80;21;14;9;21;14;3;5;3;13;1;0.01;0.3;FALSE;TRUE;100;10;4;sqrt;10
0,05;1;RandomForestClassifier;0.643498633346349;0.691855583543241;0.6668015375278171;0.5116060296262069;0.5582673997586161;226;70;13;34;200;5;34;200;5;80;21;14;9;21;14;3;5;3;13;1;0.01;0.3;FALSE;TRUE;100;10;4;sqrt;10
0,05;0;RandomForestClassifier;0.44019138755980863;0.03416264389157074;0.06340454858718125;0.4340744250027203;0.6355102588172187;227;70;21;21;200;5;34;200;13;80;13;14;9;14;5;3;8;3;3;1;0.01;0.8;FALSE;FALSE;200;10;2;log2;10
0,05;1;RandomForestClassifier;0.6411423841059603;0.97544080604534;0.7737262737262737;0.5659255749972797;0.6355102588172187;227;70;21;21;200;5;34;200;13;80;13;14;9;14;5;3;8;3;3;1;0.01;0.8;FALSE;FALSE;200;10;2;log2;10
0,05;0;RandomForestClassifier;0.37668161434977576;0.18715187523208318;0.2500620193500372;0.4869328011827785;0.5946090921282017;228;70;13;34;200;13;21;134;13;80;21;21;9;21;14;5;8;5;3;1;0.03;0.5;FALSE;FALSE;100;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.6422618074848832;0.8249370277078085;0.7222273270237985;0.5130671988172215;0.5946090921282017;228;70;13;34;200;13;21;134;13;80;21;21;9;21;14;5;8;5;3;1;0.03;0.5;FALSE;FALSE;100;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.3603881782090869;0.3033791310805793;0.3294354838709677;0.4675947187767646;0.5539761298109159;229;70;21;21;200;8;34;134;13;80;21;21;9;14;5;3;13;3;8;3;0.01;0.3;FALSE;FALSE;100;5;2;log2;10
0,05;1;RandomForestClassifier;0.6385356454720617;0.6956339210747271;0.665862969660438;0.5324052812232354;0.5539761298109159;229;70;21;21;200;8;34;134;13;80;21;21;9;14;5;3;13;3;8;3;0.01;0.3;FALSE;FALSE;100;5;2;log2;10
0,05;0;RandomForestClassifier;0.3580960854092527;0.298923134051244;0.3258449706537138;0.49599215149641623;0.5533056188815878;230;70;13;34;200;8;21;200;5;80;21;21;5;21;14;5;8;3;8;3;0.01;0.3;FALSE;FALSE;100;2;2;sqrt;10
0,05;1;RandomForestClassifier;0.6375503935496256;0.697103274559194;0.6659981951268424;0.5040078485035838;0.5533056188815878;230;70;13;34;200;8;21;200;5;80;21;21;5;21;14;5;8;3;8;3;0.01;0.3;FALSE;FALSE;100;2;2;sqrt;10
0,05;0;RandomForestClassifier;0.3869565217391304;0.03304864463423691;0.06089633937735203;0.4488031133364075;0.6318894997988467;231;70;21;21;200;8;21;200;13;80;8;14;9;14;5;3;5;3;5;3;0.01;0.8;FALSE;FALSE;100;10;4;sqrt;10
0,05;1;RandomForestClassifier;0.6396845163968452;0.9704030226700252;0.7710783087315487;0.5511968866635925;0.6318894997988467;231;70;21;21;200;8;21;200;13;80;8;14;9;14;5;3;5;3;5;3;0.01;0.8;FALSE;FALSE;100;10;4;sqrt;10
0,05;0;RandomForestClassifier;0.3784511784511784;0.20868919420720386;0.26902824317855434;0.4842128097131506;0.5904519243663672;232;70;21;21;200;13;21;200;5;70;13;14;9;21;5;5;13;3;5;3;0.03;0.5;FALSE;TRUE;200;5;1;log2;10
0,05;1;RandomForestClassifier;0.6431681178834562;0.806255247691016;0.7155365126676602;0.5157871902868494;0.5904519243663672;232;70;21;21;200;13;21;200;5;70;13;14;9;21;5;5;13;3;5;3;0.03;0.5;FALSE;TRUE;200;5;1;log2;10
0,05;0;RandomForestClassifier;0.38994974874371857;0.14407723728184182;0.210412147505423;0.4789081404256394;0.6094944347592866;233;70;13;34;200;5;34;200;5;70;13;14;5;21;5;3;8;5;13;1;0.01;0.5;FALSE;FALSE;100;5;2;sqrt;10
0,05;1;RandomForestClassifier;0.6432992881460848;0.8725860621326617;0.7406021735257438;0.5210918595743605;0.6094944347592866;233;70;13;34;200;5;34;200;5;70;13;14;5;21;5;3;8;5;13;1;0.01;0.5;FALSE;FALSE;100;5;2;sqrt;10
0,05;0;RandomForestClassifier;0.39280575539568346;0.3041217972521352;0.3428212641272499;0.48729793758922824;0.578919136381923;234;70;13;21;200;8;34;134;5;80;8;21;9;21;14;5;5;5;3;3;0.01;0.3;FALSE;TRUE;200;10;4;log2;10
0,05;1;RandomForestClassifier;0.6511541325390916;0.7342569269521411;0.6902131018153118;0.5127020624107718;0.578919136381923;234;70;13;21;200;8;34;134;5;80;8;21;9;21;14;5;5;5;3;3;0.01;0.3;FALSE;TRUE;200;10;4;log2;10
0,05;0;RandomForestClassifier;0.3774859287054409;0.3735610842926105;0.3755132512131392;0.4746311455859533;0.5512940860936033;235;70;21;21;200;5;34;134;5;80;21;21;5;14;14;5;5;5;5;1;0.01;0.3;FALSE;TRUE;300;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.6479549248747913;0.6517632241813602;0.6498534951862704;0.5253688544140467;0.5512940860936033;235;70;21;21;200;5;34;134;5;80;21;21;5;14;14;5;5;5;5;1;0.01;0.3;FALSE;TRUE;300;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.3623718887262079;0.1838098774600817;0.24390243902439024;0.4854056509974081;0.5884403915783827;236;70;13;34;200;13;21;200;13;80;13;21;9;21;5;5;13;3;13;1;0.03;0.5;FALSE;TRUE;200;2;1;log2;10
0,05;1;RandomForestClassifier;0.639139714332622;0.8171704450041981;0.717273146015661;0.5145943490025918;0.5884403915783827;236;70;13;34;200;13;21;200;13;80;13;21;9;21;5;5;13;3;13;1;0.03;0.5;FALSE;TRUE;200;2;1;log2;10
0,05;0;RandomForestClassifier;0.3657522859517872;0.3267731154845897;0.345165718768386;0.4663500436339759;0.5522328013946627;237;70;21;34;200;13;34;134;13;70;21;14;5;21;5;3;5;3;8;1;0.01;0.3;FALSE;FALSE;100;2;2;log2;10
0,05;1;RandomForestClassifier;0.6410611760047515;0.6796809403862301;0.6598064187468161;0.5336499563660241;0.5522328013946627;237;70;21;34;200;13;34;134;13;70;21;14;5;21;5;3;5;3;8;1;0.01;0.3;FALSE;FALSE;100;2;2;log2;10
0,05;0;RandomForestClassifier;0.39344262295081966;0.03564797623468251;0.06537282941777324;0.4226764323215052;0.6318894997988467;238;70;21;21;200;13;21;134;5;80;21;21;9;14;5;3;13;5;13;3;0.03;0.8;FALSE;FALSE;100;2;2;log2;10
0,05;1;RandomForestClassifier;0.63995563565784;0.9689336691855583;0.7708107205477165;0.5773235676784948;0.6318894997988467;238;70;21;21;200;13;21;134;5;80;21;21;9;14;5;3;13;5;13;3;0.03;0.8;FALSE;FALSE;100;2;2;log2;10
0,05;0;RandomForestClassifier;0.38295880149812733;0.1518752320831786;0.2174953469821856;0.481751441916615;0.605337266997452;239;70;21;34;200;8;21;134;5;80;8;21;9;14;14;3;5;3;5;3;0.01;0.5;FALSE;TRUE;100;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.6425105650336516;0.8616708648194794;0.7361248094683045;0.518248558083385;0.605337266997452;239;70;21;34;200;8;21;134;5;80;8;21;9;14;14;3;5;3;5;3;0.01;0.5;FALSE;TRUE;100;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.3805970149253731;0.018937987374675083;0.03608065086664308;0.43233849738866476;0.6345715435161593;240;70;21;34;200;13;21;200;13;80;21;14;9;21;14;3;13;3;8;3;0.03;0.8;FALSE;FALSE;200;2;4;log2;10
0,05;1;RandomForestClassifier;0.6392188993581865;0.9825776658270361;0.7745511706792422;0.5676615026113352;0.6345715435161593;240;70;21;34;200;13;21;200;13;80;21;14;9;21;14;3;13;3;8;3;0.03;0.8;FALSE;FALSE;200;2;4;log2;10
0,05;0;RandomForestClassifier;0.3487394957983193;0.030820646119569254;0.0566359604230638;0.44766456119871684;0.6292074560815342;241;70;13;34;200;8;34;134;13;70;8;21;9;14;14;3;13;5;3;3;0.03;0.8;FALSE;TRUE;200;5;1;log2;10
0,05;1;RandomForestClassifier;0.6384540795123979;0.9674643157010915;0.7692564466327297;0.5523354388012831;0.6292074560815342;241;70;13;34;200;8;34;134;13;70;8;21;9;14;14;3;13;5;3;3;0.03;0.8;FALSE;TRUE;200;5;1;log2;10
0,05;0;RandomForestClassifier;0.3742138364779874;0.30932046045302636;0.33868672494409435;0.49251538569223385;0.5637655893791069;242;70;13;21;200;5;21;134;5;80;8;14;5;14;14;3;13;3;5;3;0.01;0.3;FALSE;TRUE;100;5;2;sqrt;10
0,05;1;RandomForestClassifier;0.6444274517300708;0.7075986565910999;0.6745372686343172;0.5074846143077663;0.5637655893791069;242;70;13;21;200;5;21;134;5;80;8;14;5;14;14;3;13;3;5;3;0.01;0.3;FALSE;TRUE;100;5;2;sqrt;10
0,05;0;RandomForestClassifier;0.42857142857142855;0.01670998886000743;0.032165832737669764;0.43511016682551995;0.636851280675875;243;70;13;34;200;13;34;134;13;80;21;14;9;14;14;5;5;5;13;3;0.03;0.8;FALSE;FALSE;100;2;4;sqrt;10
0,05;1;RandomForestClassifier;0.6398258977149075;0.9874055415617129;0.7764938923737207;0.56488983317448;0.636851280675875;243;70;13;34;200;13;34;134;13;80;21;14;9;14;14;5;5;5;13;3;0.03;0.8;FALSE;FALSE;100;2;4;sqrt;10
0,05;0;RandomForestClassifier;0.37053182214472535;0.3156331229112514;0.3408863043914177;0.49404814796454277;0.5592061150596754;244;70;13;21;200;13;21;134;5;80;21;21;5;21;14;3;5;3;3;1;0.01;0.3;FALSE;FALSE;100;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.6430369939957389;0.6968933669185559;0.6688828447667976;0.5059518520354572;0.5592061150596754;244;70;13;21;200;13;21;134;5;80;21;21;5;21;14;3;5;3;3;1;0.01;0.3;FALSE;FALSE;100;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.3707617789520035;0.31266245822502786;0.33924254633360196;0.4623437930162566;0.5601448303607349;245;70;21;21;200;5;21;134;5;70;13;14;9;21;5;5;5;3;13;1;0.03;0.3;FALSE;FALSE;100;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.6430775163902815;0.7000419815281276;0.6703517587939698;0.5376562069837434;0.5601448303607349;245;70;21;21;200;5;21;134;5;70;13;14;9;21;5;5;5;3;13;1;0.03;0.3;FALSE;FALSE;100;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.35770049680624555;0.18715187523208318;0.24573378839590443;0.4894723874410224;0.5850878369317419;246;70;13;34;200;8;21;134;13;80;8;14;9;21;5;3;5;5;13;1;0.03;0.5;FALSE;TRUE;200;2;2;log2;10
0,05;1;RandomForestClassifier;0.6380621693121693;0.8100335852225021;0.7138364779874213;0.5105276125589776;0.5850878369317419;246;70;13;34;200;8;21;134;13;80;8;14;9;21;5;3;5;5;13;1;0.03;0.5;FALSE;TRUE;200;2;2;log2;10
0,05;0;RandomForestClassifier;0.36620926243567753;0.31711845525436316;0.33990049751243784;0.4673772504078896;0.5551830494837066;247;70;21;21;200;13;21;134;5;80;21;21;9;21;5;5;5;5;5;3;0.03;0.3;FALSE;TRUE;300;2;1;sqrt;10
0,05;1;RandomForestClassifier;0.6411707317073171;0.6897565071368598;0.664576802507837;0.5326227495921104;0.5551830494837066;247;70;21;21;200;13;21;134;5;80;21;21;9;21;5;5;5;5;5;3;0.03;0.3;FALSE;TRUE;300;2;1;sqrt;10
0,05;0;RandomForestClassifier;0.3632075471698113;0.028592647604901596;0.05301204819277108;0.4421236386402163;0.6310848866836529;248;70;13;21;200;5;21;200;13;80;8;21;5;14;14;3;13;5;3;1;0.01;0.8;FALSE;TRUE;300;5;4;log2;10
0,05;1;RandomForestClassifier;0.6389233954451345;0.9716624685138538;0.7709218086435173;0.5578763613597837;0.6310848866836529;248;70;13;21;200;5;21;200;13;80;8;21;5;14;14;3;13;5;3;1;0.01;0.8;FALSE;TRUE;300;5;4;log2;10
0,05;0;RandomForestClassifier;0.37037037037037035;0.025993316004455997;0.048577376821651634;0.4320037208136404;0.6322918063564437;249;70;21;21;200;5;21;200;5;80;21;21;9;14;14;3;13;5;13;3;0.01;0.8;FALSE;FALSE;200;5;4;log2;10
0,05;1;RandomForestClassifier;0.6391029168959824;0.9750209907640638;0.7721077127659575;0.5679962791863596;0.6322918063564437;249;70;21;21;200;5;21;200;5;80;21;21;9;14;14;3;13;5;13;3;0.01;0.8;FALSE;FALSE;200;5;4;log2;10
0,05;0;RandomForestClassifier;0.3622011727559765;0.2981804678796881;0.3270875763747454;0.46393672933185304;0.5569263778999598;250;70;21;34;200;5;34;200;13;80;21;21;5;14;5;3;8;5;13;3;0.01;0.3;FALSE;FALSE;300;5;2;log2;10
0,05;1;RandomForestClassifier;0.6393129770992366;0.7031905961376994;0.6697321071571372;0.536063270668147;0.5569263778999598;250;70;21;34;200;5;34;200;13;80;21;21;5;14;5;3;8;5;13;3;0.01;0.3;FALSE;FALSE;300;5;2;log2;10
0,05;0;RandomForestClassifier;0.3766025641025641;0.17452655031563313;0.23851814260340015;0.48169610050374717;0.5975593402172455;251;70;21;34;200;8;21;200;13;80;13;21;9;21;5;3;13;5;3;3;0.01;0.5;FALSE;TRUE;100;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.6419713319375101;0.8366918555835432;0.7265105258361433;0.5183038994962529;0.5975593402172455;251;70;21;34;200;8;21;200;13;80;13;21;9;21;5;3;13;5;3;3;0.01;0.5;FALSE;TRUE;100;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.3673469387755102;0.026735982176011884;0.04984423676012461;0.43850275132562166;0.6318894997988467;252;70;13;21;200;13;34;200;13;80;8;21;5;14;14;3;8;3;5;1;0.01;0.8;FALSE;FALSE;100;2;4;log2;10
0,05;1;RandomForestClassifier;0.6390304365789836;0.9739714525608733;0.7717255717255718;0.5614972486743783;0.6318894997988467;252;70;13;21;200;13;34;200;13;80;8;21;5;14;14;3;8;3;5;1;0.01;0.8;FALSE;FALSE;100;2;4;log2;10
0,05;0;RandomForestClassifier;0.35294117647058826;0.16932788711474192;0.2288582183186951;0.4942674870290641;0.5879039828349202;253;70;13;34;200;13;34;200;5;80;8;14;9;21;5;3;8;5;3;3;0.03;0.5;FALSE;FALSE;100;2;4;log2;10
0,05;1;RandomForestClassifier;0.6371451743714518;0.8245172124265323;0.7188214841248055;0.505732512970936;0.5879039828349202;253;70;13;34;200;13;34;200;5;80;8;14;9;21;5;3;8;5;3;3;0.03;0.5;FALSE;FALSE;100;2;4;log2;10
0,05;0;RandomForestClassifier;0.4;0.02376531748978834;0.04486505432877673;0.44324519862578693;0.6345715435161593;254;70;13;34;200;5;21;200;13;70;21;21;5;21;5;5;13;3;5;1;0.03;0.8;FALSE;TRUE;300;5;4;log2;10
0,05;1;RandomForestClassifier;0.6397149513498698;0.9798488664987406;0.7740651687256447;0.556754801374213;0.6345715435161593;254;70;13;34;200;5;21;200;13;70;21;21;5;21;5;5;13;3;5;1;0.03;0.8;FALSE;TRUE;300;5;4;log2;10
0,05;0;RandomForestClassifier;0.37518248175182484;0.1908652060898626;0.25301501353679545;0.49058662053531205;0.5929998658978142;255;70;13;34;200;5;34;134;5;70;8;21;5;21;5;3;13;5;5;1;0.03;0.5;FALSE;FALSE;200;5;1;log2;10
0,05;1;RandomForestClassifier;0.6420239855429604;0.8203190596137699;0.7203022762878998;0.509413379464688;0.5929998658978142;255;70;13;34;200;5;34;134;5;70;8;21;5;21;5;3;13;5;5;1;0.03;0.5;FALSE;FALSE;200;5;1;log2;10
0,05;0;RandomForestClassifier;0.4662576687116564;0.028221314519123655;0.05322128851540616;0.4286942263784922;0.6373876894193375;256;70;13;21;200;8;21;200;13;70;13;21;9;21;5;5;8;5;13;1;0.01;0.8;FALSE;TRUE;100;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.6412119550315327;0.9817380352644837;0.7757505390612042;0.5713057736215077;0.6373876894193375;256;70;13;21;200;8;21;200;13;70;13;21;9;21;5;5;8;5;13;1;0.01;0.8;FALSE;TRUE;100;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.4010989010989011;0.027107315261789826;0.050782608695652175;0.4511027439051956;0.6340351347726968;257;70;13;21;200;5;21;200;5;70;8;21;5;21;5;5;13;5;5;3;0.01;0.8;FALSE;FALSE;100;2;2;log2;10
0,05;1;RandomForestClassifier;0.6398625429553264;0.977120067170445;0.7733200431929562;0.5488972560948043;0.6340351347726968;257;70;13;21;200;5;21;200;5;70;8;21;5;21;5;5;13;5;5;3;0.01;0.8;FALSE;FALSE;100;2;2;log2;10
0,05;0;RandomForestClassifier;0.3826771653543307;0.1804678796880802;0.24526873580620742;0.4723916500876265;0.5989003620759018;258;70;21;34;200;5;34;200;13;80;13;21;5;21;5;5;8;3;13;3;0.01;0.5;FALSE;TRUE;100;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.6432843058024891;0.8354324097397146;0.7268742580586248;0.5276083499123735;0.5989003620759018;258;70;21;34;200;5;34;200;13;80;13;21;5;21;5;5;8;3;13;3;0.01;0.5;FALSE;TRUE;100;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.39344262295081966;0.017823988117341254;0.03410301953818828;0.44716134406987923;0.635376156631353;259;70;21;34;200;8;21;134;5;80;21;14;5;21;14;3;5;3;5;3;0.01;0.8;FALSE;FALSE;100;2;4;log2;10
0,05;1;RandomForestClassifier;0.6394001363326517;0.9844668345927792;0.7752706835275642;0.5528386559301208;0.635376156631353;259;70;21;34;200;8;21;134;5;80;21;14;5;21;14;3;5;3;5;3;0.01;0.8;FALSE;FALSE;100;2;4;log2;10
0,05;0;RandomForestClassifier;0.3826530612244898;0.027849981433345713;0.05192107995846314;0.4435643081247741;0.6326941129140405;260;70;21;21;200;8;21;134;5;80;8;21;5;14;14;3;8;5;5;3;0.01;0.8;FALSE;FALSE;200;10;4;log2;10
0,05;1;RandomForestClassifier;0.6394436028095304;0.9746011754827876;0.7722245322245322;0.5564356918752259;0.6326941129140405;260;70;21;21;200;8;21;134;5;80;8;21;5;14;14;3;8;5;5;3;0.01;0.8;FALSE;FALSE;200;10;4;log2;10
0,05;0;RandomForestClassifier;0.3596371882086168;0.29446713702190863;0.32380563495304204;0.46550480098448477;0.5558535604130347;261;70;21;21;200;5;21;134;13;70;8;21;9;21;5;3;5;3;3;1;0.01;0.3;FALSE;TRUE;100;5;4;log2;10
0,05;1;RandomForestClassifier;0.6382330540746383;0.7036104114189756;0.6693290734824281;0.5344951990155152;0.5558535604130347;261;70;21;21;200;5;21;134;13;70;8;21;9;21;5;3;5;3;3;1;0.01;0.3;FALSE;TRUE;100;5;4;log2;10
0,05;0;RandomForestClassifier;0.3741258741258741;0.15893056071295952;0.22309095647641386;0.472719918200715;0.6002413839345582;262;70;21;21;200;8;21;134;5;80;21;21;9;21;14;3;8;3;13;3;0.01;0.5;FALSE;TRUE;100;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.6412165373039759;0.8497061293031066;0.730883813306852;0.5272800817992849;0.6002413839345582;262;70;21;21;200;8;21;134;5;80;21;21;9;21;14;3;8;3;13;3;0.01;0.5;FALSE;TRUE;100;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.4309623430962343;0.03824730783512811;0.07025920873124147;0.4274813140888637;0.6344374413302937;263;70;13;21;200;8;21;134;13;70;8;21;9;21;5;3;5;3;13;1;0.01;0.8;FALSE;TRUE;100;2;2;log2;10
0,05;1;RandomForestClassifier;0.6411748406760875;0.9714525608732157;0.772492071440494;0.5725186859111364;0.6344374413302937;263;70;13;21;200;8;21;134;13;70;8;21;9;21;5;3;5;3;13;1;0.01;0.8;FALSE;TRUE;100;2;2;log2;10
0,05;0;RandomForestClassifier;0.364560639070443;0.1864092090605273;0.2466830466830467;0.4825859670389663;0.5888426981359797;264;70;13;34;200;8;34;200;5;80;21;21;5;21;14;3;5;3;5;3;0.03;0.5;FALSE;TRUE;200;5;4;log2;10
0,05;1;RandomForestClassifier;0.6396381578947369;0.8163308144416457;0.717263002582073;0.5174140329610337;0.5888426981359797;264;70;13;34;200;8;34;200;5;80;21;21;5;21;14;3;5;3;5;3;0.03;0.5;FALSE;TRUE;200;5;4;log2;10
0,05;0;RandomForestClassifier;0.3611111111111111;0.188265874489417;0.24749816939223823;0.493115606184894;0.5865629609762639;265;70;13;34;200;8;34;134;13;70;21;14;5;14;14;3;8;3;13;1;0.03;0.5;FALSE;FALSE;100;10;4;log2;10
0,05;1;RandomForestClassifier;0.6388567652403767;0.8117128463476071;0.7149856707035223;0.5068843938151061;0.5865629609762639;265;70;13;34;200;8;34;134;13;70;21;14;5;14;14;3;8;3;13;1;0.03;0.5;FALSE;FALSE;100;10;4;log2;10
0,05;0;RandomForestClassifier;0.38137755102040816;0.3330857779428147;0.355599603567889;0.4616623141814631;0.5640337937508382;266;70;21;34;200;13;34;134;13;70;21;21;5;21;5;5;13;5;3;3;0.03;0.3;FALSE;FALSE;100;2;4;sqrt;10
0,05;1;RandomForestClassifier;0.6481880509304603;0.6945843828715366;0.6705846590333367;0.5383376858185369;0.5640337937508382;266;70;21;34;200;13;34;134;13;70;21;21;5;21;5;5;13;5;3;3;0.03;0.3;FALSE;FALSE;100;2;4;sqrt;10
