Range;class;model;precision;recall;f1_score;roc_auc;accuracy;номер комбинации;RSI__h_bound;RSI__period;SMA__ma_long;SMA__ma_longest;SMA__ma_short;EMA__ema_long;EMA__ema_longest;EMA__ema_short;RSIEMA__h_bound;RSIEMA__period;ROC__roc_high;ROC__roc_low;MOM__mom_high;MOM__mom_low;STOCH__stoch_d;STOCH__stoch_k;STOCH__stoch_period;SHIFT1__num_shifts;SHIFT2__num_shifts;CORRELATION_REMOVER__threshold;DEPENDENCIES_REMOVER__correlation_threshold;DATAPREPROCESSOR__apply_balancing;DATAPREPROCESSOR__apply_scaling;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
0,05;1;RandomForestClassifier;0.6414724887409438;0.6876574307304786;0.6637625367237362;0.505730330492682;0.5549148451119753;121;70;13;34;200;5;21;200;5;80;8;14;9;21;14;5;13;5;3;3;0.03;0.3;FALSE;FALSE;100;2;4;sqrt;10
0,05;0;RandomForestClassifier;0.3522985889849795;0.28741180839212777;0.3165644171779141;0.4636975141260905;0.5518304948370658;122;70;21;21;200;13;21;134;13;80;21;14;9;21;5;5;8;5;8;3;0.03;0.3;FALSE;TRUE;100;10;4;log2;10
0,05;1;RandomForestClassifier;0.6351711026615969;0.7013014273719563;0.6666001596169194;0.5363024858739095;0.5518304948370658;122;70;21;21;200;13;21;134;13;80;21;14;9;21;5;5;8;5;8;3;0.03;0.3;FALSE;TRUE;100;10;4;log2;10
0,05;0;RandomForestClassifier;0.3723404255319149;0.32491645005569997;0.347015665278604;0.46487309044844627;0.5584015019444817;123;70;21;34;200;13;34;134;5;70;8;21;9;21;5;3;8;3;8;1;0.01;0.3;FALSE;FALSE;100;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.6440180144899158;0.6903862300587741;0.6663965150440685;0.5351269095515536;0.5584015019444817;123;70;21;34;200;13;34;134;5;70;8;21;9;21;5;3;8;3;8;1;0.01;0.3;FALSE;FALSE;100;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.37128353879622916;0.19012253991830672;0.25147347740667975;0.48121517583136053;0.5912565374815609;124;70;13;34;200;8;21;134;5;70;21;21;5;21;14;5;13;3;13;1;0.03;0.5;FALSE;TRUE;100;5;2;sqrt;10
0,05;1;RandomForestClassifier;0.6411648568608095;0.8180100755667506;0.7188710570005534;0.5187848241686395;0.5912565374815609;124;70;13;34;200;8;21;134;5;70;21;21;5;21;14;5;13;3;13;1;0.03;0.5;FALSE;TRUE;100;5;2;sqrt;10
0,05;0;RandomForestClassifier;0.36961160904822876;0.32157445228369846;0.3439237490071485;0.4894125641531688;0.5569263778999598;125;70;13;34;200;8;21;200;13;70;21;21;5;14;5;5;13;5;5;3;0.03;0.3;FALSE;TRUE;100;5;4;log2;10
0,05;1;RandomForestClassifier;0.6427454047712162;0.6899664147774979;0.6655193358979551;0.5105874358468312;0.5569263778999598;125;70;13;34;200;8;21;200;13;70;21;21;5;14;5;5;13;5;5;3;0.03;0.3;FALSE;TRUE;100;5;4;log2;10
0,05;0;RandomForestClassifier;0.38748335552596536;0.21611585592276272;0.27747318235995233;0.476668138280575;0.5935362746412767;126;70;21;34;200;13;21;200;13;70;21;21;5;21;14;5;8;3;8;1;0.03;0.5;FALSE;TRUE;100;2;2;sqrt;10
0,05;1;RandomForestClassifier;0.6455079764903443;0.8068849706129303;0.7172310849892714;0.523331861719425;0.5935362746412767;126;70;21;34;200;13;21;200;13;70;21;21;5;21;14;5;8;3;8;1;0.03;0.5;FALSE;TRUE;100;2;2;sqrt;10
0,05;0;RandomForestClassifier;0.37559088955737;0.324545116969922;0.34820717131474105;0.48655028289594915;0.5612176478476599;127;70;13;21;200;13;21;134;13;80;21;14;9;14;5;3;5;5;3;1;0.03;0.3;FALSE;TRUE;100;2;2;log2;10
0,05;1;RandomForestClassifier;0.6454191033138401;0.6950041981528128;0.6692945219324843;0.5134497171040509;0.5612176478476599;127;70;13;21;200;13;21;134;13;80;21;14;9;14;5;3;5;5;3;1;0.03;0.3;FALSE;TRUE;100;2;2;log2;10
0,05;0;RandomForestClassifier;0.36659275683665926;0.18418121054585965;0.24518042511122096;0.489301023925262;0.5904519243663672;128;70;13;34;200;5;34;200;13;80;8;14;5;21;14;3;5;5;13;1;0.03;0.5;FALSE;FALSE;200;10;2;log2;10
0,05;1;RandomForestClassifier;0.6400720838794234;0.8201091519731318;0.7189915347810084;0.510698976074738;0.5904519243663672;128;70;13;34;200;5;34;200;13;80;8;14;5;21;14;3;5;5;13;1;0.03;0.5;FALSE;FALSE;200;10;2;log2;10
0,05;0;RandomForestClassifier;0.3777484608619173;0.3189751206832529;0.3458828266559291;0.46273141674328727;0.5643019981225694;129;70;21;34;200;5;34;200;13;70;8;14;5;14;5;3;8;3;3;1;0.03;0.3;FALSE;TRUE;100;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.6461508778699595;0.7029806884970613;0.673368854931135;0.5372685832567128;0.5643019981225694;129;70;21;34;200;5;34;200;13;70;8;14;5;14;5;3;8;3;3;1;0.03;0.3;FALSE;TRUE;100;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.3790112749349523;0.324545116969922;0.34966993398679735;0.48621944257634697;0.5640337937508382;130;70;13;34;200;8;34;134;5;80;8;14;9;14;5;3;5;5;8;3;0.03;0.3;FALSE;TRUE;200;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.6468646864686468;0.6994122586062133;0.6721129601613717;0.513780557423653;0.5640337937508382;130;70;13;34;200;8;34;134;5;80;8;14;9;14;5;3;5;5;8;3;0.03;0.3;FALSE;TRUE;200;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.38495252008765524;0.19569253620497587;0.25947808961102903;0.4779643744721131;0.5966206249161862;131;70;21;21;200;13;21;134;5;80;13;21;9;21;14;3;13;3;3;3;0.03;0.5;FALSE;TRUE;100;2;4;sqrt;10
0,05;1;RandomForestClassifier;0.6442181340341656;0.8232577665827037;0.7228160707703649;0.5220356255278868;0.5966206249161862;131;70;21;21;200;13;21;134;5;80;13;21;9;21;14;3;13;3;3;3;0.03;0.5;FALSE;TRUE;100;2;4;sqrt;10
0,05;0;RandomForestClassifier;0.3974358974358974;0.16115855922762717;0.22932628797886392;0.4812002882118426;0.6088239238299584;132;70;13;34;200;8;34;134;5;80;8;14;9;14;14;3;13;3;5;3;0.01;0.5;FALSE;TRUE;100;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.6450903377847604;0.8618807724601175;0.7378919938898374;0.5187997117881574;0.6088239238299584;132;70;13;34;200;8;34;134;5;80;8;14;9;14;14;3;13;3;5;3;0.01;0.5;FALSE;TRUE;100;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.3789173789173789;0.19754920163386558;0.25970222113741764;0.4792944390765872;0.5932680702695454;133;70;13;21;200;5;21;134;13;80;8;14;9;14;14;3;13;5;8;1;0.03;0.5;FALSE;FALSE;100;5;2;log2;10
0,05;1;RandomForestClassifier;0.6429869486205188;0.81696053736356;0.7196080244060276;0.5207055609234128;0.5932680702695454;133;70;13;21;200;5;21;134;13;80;8;14;9;14;14;3;13;5;8;1;0.03;0.5;FALSE;FALSE;100;5;2;log2;10
0,05;0;RandomForestClassifier;0.4083769633507853;0.028963980690679538;0.05409153952843273;0.4349210706739462;0.6341692369585624;134;70;13;21;200;13;21;200;5;70;8;21;5;14;5;3;8;5;3;1;0.03;0.8;FALSE;TRUE;300;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.6401045967519956;0.9762804366078925;0.773233582709892;0.5650789293260539;0.6341692369585624;134;70;13;21;200;13;21;200;5;70;8;21;5;14;5;3;8;5;3;1;0.03;0.8;FALSE;TRUE;300;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.41203703703703703;0.03304864463423691;0.061189412169130285;0.438049497359669;0.6337669304009655;135;70;21;34;200;13;34;134;13;80;21;14;5;21;5;3;13;5;8;3;0.03;0.8;FALSE;FALSE;100;5;2;sqrt;10
0,05;1;RandomForestClassifier;0.6403811628228145;0.9733417296389588;0.7725114535610162;0.5619505026403311;0.6337669304009655;135;70;21;34;200;13;34;134;13;80;21;14;5;21;5;3;13;5;8;3;0.03;0.8;FALSE;FALSE;100;5;2;sqrt;10
0,05;0;RandomForestClassifier;0.36883116883116884;0.15818789454140364;0.22141372141372143;0.47479798825390207;0.5982298511465737;136;70;21;34;200;5;21;134;5;80;21;14;5;14;14;5;13;5;8;1;0.01;0.5;FALSE;FALSE;100;2;2;sqrt;10
0,05;1;RandomForestClassifier;0.6402729292288163;0.8469773299748111;0.7292607988433039;0.525202011746098;0.5982298511465737;136;70;21;34;200;5;21;134;5;80;21;14;5;14;14;5;13;5;8;1;0.01;0.5;FALSE;FALSE;100;2;2;sqrt;10
0,05;0;RandomForestClassifier;0.3788748564867968;0.3676197549201634;0.3731624575951753;0.4741502988592186;0.5539761298109159;137;70;21;34;200;8;21;200;13;80;8;14;9;14;14;5;13;3;3;3;0.01;0.3;FALSE;FALSE;100;10;4;sqrt;10
